Gender,Years of Experience,Salary
Female,5,180000
Male,4,140000
Male,7,170000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,2,115000
Female,4,140000
Male,9,185000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,3,125000
Female,2,120000
Male,2,110000
Female,5,180000
Male,4,140000
Male,7,170000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,2,115000
Female,4,140000
Male,9,185000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,2,115000
Female,4,140000
Male,9,185000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,3,125000
Female,2,120000
Male,2,110000
Female,5,180000
Male,4,140000
Male,7,170000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,2,115000
Female,4,140000
Male,9,185000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,2,115000
Female,4,140000
Male,9,185000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,2,115000
Female,4,140000
Male,9,185000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,2,115000
Female,4,140000
Male,9,185000
Female,1,100000
Male,8,190000
Female,6,155000
Male,3,130000
Female,5,145000
Male,2,115000
Female,4,140000
Male,9,185000
Male,3,130000
Female,6,180000
Male,8,190000
Female,4,150000
Male,1,90000
Female,9,195000
Male,5,160000
Female,11,198000
Male,2,110000
Female,7,185000
Male,4,140000
Female,12,196000
Male,1,95000
Female,10,193000
Male,6,175000
Female,5,160000
Male,3,130000
Female,6,180000
Male,5,160000
Female,11,198000
Male,1,90000
Female,7,185000
Male,4,140000
Female,12,196000
Male,2,110000
Female,6,180000
Male,8,190000
Female,4,150000
Male,9,195000
Female,5,160000
Male,11,198000
Female,3,130000
Male,7,185000
Female,4,140000
Male,12,196000
Female,2,110000
Male,8,190000
Female,6,180000
Male,5,160000
Female,11,198000
Male,1,90000
Female,9,195000
Male,5,160000
Female,4,150000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,2,110000
Female,7,185000
Male,4,140000
Female,12,196000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Male,2,125000
Female,6,175000
Male,8,190000
Female,4,150000
Male,1,95000
Male,9,195000
Male,5,160000
Female,11,198000
Male,3,130000
Female,7,185000
Male,4,140000
Female,12,196000
Male,1,90000
Female,10,193000
Male,6,170000
Female,5,160000
Male,3,135000
Female,6,180000
Male,5,160000
Female,11,198000
Male,1,90000
Female,7,185000
Male,4,140000
Female,12,196000
Male,2,115000
Female,6,180000
Male,8,190000
Female,4,150000
Male,9,195000
Female,5,160000
Male,11,198000
Female,3,130000
Male,7,185000
Female,4,140000
Male,12,196000
Female,2,110000
Male,8,190000
Female,6,180000
Male,5,160000
Female,11,198000
Male,1,90000
Female,9,195000
Male,5,160000
Female,4,150000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,2,110000
Female,7,185000
Male,4,140000
Female,12,196000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Male,1,90000
Female,4,150000
Male,8,190000
Female,3,125000
Male,2,110000
Male,7,180000
Male,5,160000
Female,10,195000
Male,3,130000
Female,6,170000
Male,4,140000
Female,11,196000
Male,1,92000
Female,9,195000
Male,6,170000
Female,5,160000
Male,3,135000
Female,6,180000
Male,5,165000
Female,11,198000
Male,1,95000
Female,7,185000
Male,4,140000
Female,12,196000
Male,2,115000
Female,6,180000
Male,8,190000
Female,4,150000
Male,9,195000
Female,5,160000
Male,11,198000
Female,3,130000
Male,7,185000
Female,4,140000
Male,12,196000
Female,2,110000
Male,8,190000
Female,6,180000
Male,5,160000
Female,11,198000
Male,1,90000
Female,9,195000
Male,5,160000
Female,4,150000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,2,110000
Female,7,185000
Male,4,140000
Female,12,196000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,135000
Male,8,190000
Female,6,180000
Male,5,160000
Male,1,95000
Female,11,196000
Male,4,140000
Male,3,130000
Female,7,185000
Male,9,195000
Female,5,160000
Female,3,130000
Male,7,185000
Female,4,150000
Male,1,90000
Male,11,198000
Male,2,115000
Male,5,165000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,4,140000
Female,6,180000
Male,5,160000
Male,1,92000
Female,5,160000
Male,3,130000
Male,8,190000
Female,11,198000
Male,2,110000
Female,7,185000
Male,4,140000
Female,12,196000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,9,195000
Female,5,160000
Male,3,130000
Female,6,180000
Male,8,190000
Female,11,198000
Male,1,90000
Male,4,140000
Female,2,110000
Female,7,185000
Male,5,135000
Female,3,180000
Male,12,195000
Female,8,165000
Male,15,198000
Female,4,150000
Male,9,162000
Male,6,175000
Female,13,197000
Male,7,142000
Female,4,182000
Male,11,185000
Female,8,170000
Male,4,160000
Male,8,180000
Female,6,150000
Male,5,140000
Male,2,100000
Female,11,190000
Male,4,160000
Male,3,120000
Female,7,170000
Male,9,190000
Female,5,150000
Female,3,120000
Male,7,170000
Female,4,130000
Male,2,95000
Male,11,195000
Male,2,100000
Male,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,4,160000
Female,6,170000
Male,5,140000
Male,2,95000
Female,5,150000
Male,3,120000
Male,8,180000
Female,11,195000
Male,2,100000
Female,7,170000
Male,4,160000
Female,12,190000
Male,9,190000
Female,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,2,95000
Male,4,160000
Female,2,100000
Female,7,170000
Male,9,190000
Female,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,2,95000
Male,4,160000
Female,2,100000
Female,7,170000
Male,9,190000
Female,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,2,95000
Male,4,160000
Female,2,100000
Female,7,170000
Male,9,190000
Female,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,2,95000
Male,4,160000
Female,2,100000
Female,7,170000
Male,9,190000
Female,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,2,95000
Male,4,160000
Female,2,100000
Female,7,170000
Male,9,190000
Female,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,2,95000
Male,4,160000
Female,2,100000
Female,7,170000
Male,9,190000
Female,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,2,95000
Male,4,160000
Female,2,100000
Female,7,170000
Male,9,190000
Female,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,2,95000
Male,4,160000
Female,2,100000
Female,7,170000
Male,9,190000
Female,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,2,95000
Male,4,160000
Female,2,100000
Female,7,170000
Male,9,190000
Female,5,150000
Male,3,120000
Female,6,150000
Male,8,180000
Female,11,195000
Male,2,95000
Male,4,160000
Female,2,100000
Female,7,170000
Male,7,180000
Female,5,120000
Male,10,195000
Male,4,160000
Female,3,100000
Male,8,190000
Male,6,170000
Female,9,185000
Male,7,130000
Female,12,190000
Male,5,150000
Female,6,150000
Male,14,195000
Male,3,110000
Female,8,180000
Male,9,185000
Female,7,130000
Male,10,190000
Female,6,155000
Male,12,195000
Female,2,90000
Male,8,185000
Female,6,120000
Male,9,180000
Female,3,100000
Male,10,195000
Male,4,160000
Female,5,125000
Male,6,170000
Female,9,185000
Male,7,130000
Female,12,190000
Male,5,150000
Female,6,150000
Male,14,195000
Male,3,110000
Female,8,180000
Male,9,185000
Female,7,130000
Male,10,190000
Female,6,155000
Male,12,195000
Female,2,90000
Male,8,185000
Female,6,120000
Male,9,180000
Female,3,100000
Male,10,195000
Male,4,160000
Female,5,125000
Male,6,170000
Female,9,185000
Male,7,130000
Female,12,190000
Male,5,150000
Female,6,150000
Male,14,195000
Male,3,110000
Female,8,180000
Male,9,185000
Female,7,130000
Male,10,190000
Female,6,155000
Male,12,195000
Female,2,90000
Male,8,185000
Female,6,120000
Male,9,180000
Female,3,100000
Male,10,195000
Male,4,160000
Female,5,125000
Male,6,170000
Female,9,185000
Male,7,130000
Female,12,190000
Male,5,150000
Female,6,150000
Male,14,195000
Male,3,110000
Female,8,180000
Male,9,185000
Female,7,130000
Male,10,190000
Female,6,155000
Male,12,195000
Female,2,90000
Male,8,185000
Female,6,120000
Male,9,180000
Female,3,100000
Male,10,195000
Male,4,160000
Female,5,125000
Male,6,170000
Female,9,185000
Male,7,130000
Female,12,190000
Male,5,150000
Female,6,150000
Male,14,195000
Male,3,110000
Female,8,180000
Male,9,185000
Female,7,130000
Male,10,190000
Female,6,155000
Male,12,195000
Female,2,90000
Male,8,185000
Male,7,175000
Male,18,190000
Female,5,110000
Male,16,195000
Female,3,100000
Male,1,60000
Male,8,155000
Female,12,175000
Female,13,180000
Male,4,95000
Male,20,200000
Male,11,165000
Male,9,145000
Male,19,195000
Female,2,75000
Female,3,90000
Female,9,155000
Male,5,115000
Female,12,170000
Female,16,190000
Male,4,115000
Male,14,180000
Male,18,195000
Male,7,140000
Male,19,200000
Female,2,70000
Female,11,170000
Female,14,185000
Female,8,140000
Male,15,185000
Male,15,185000
Male,15,180000
Male,14,175000
Male,2,70000
Female,1,60000
Male,20,200000
Male,14,170000
Female,11,165000
Male,1,55000
Male,17,190000
Female,3,90000
Female,5,105000
Male,6,130000
Female,16,185000
Female,1,60000
Male,17,195000
Male,1,60000
Male,8,150000
Female,13,180000
Female,12,170000
Male,6,125000
Male,15,185000
Male,3,90000
Male,3,80000
Female,3,85000
Male,16,190000
Female,11,160000
Male,19,200000
Male,17,195000
Male,18,195000
Female,14,190000
Female,3,95000
Male,1,55000
Male,13,185000
Female,5,120000
Male,16,195000
Male,14,175000
Female,2,75000
Male,17,200000
Female,12,160000
Male,12,175000
Male,2,70000
Male,15,180000
Female,1,60000
Male,16,190000
Male,5,120000
Male,20,200000
Male,14,185000
Female,16,190000
Male,18,195000
Female,14,170000
Male,1,55000
Male,6,130000
Male,14,180000
Male,14,185000
Male,1,55000
Male,9,145000
Female,12,170000
Male,17,195000
Female,10,155000
Male,6,125000
Female,14,180000
Male,4,95000
Female,11,170000
Female,3,100000
Male,14,175000
Male,3,80000
Male,18,195000
Male,10,155000
Male,6,125000
Female,4,110000
Female,6,130000
Male,16,190000
Male,20,200000
Male,19,200000
Male,9,150000
Male,7,140000
Female,17,195000
Male,17,195000
Female,1,55000
Male,15,185000
Female,5,120000
Female,16,190000
Female,6,130000
Female,16,190000
Male,6,130000
Male,7,140000
Male,2,70000
Male,11,170000
Male,17,190000
Male,3,80000
Male,14,180000
Female,2,70000
Male,14,185000
Female,1,55000
Female,8,140000
Female,14,170000
Male,6,130000
Male,13,180000
Male,4,95000
Female,2,70000
Male,12,165000
Male,13,185000
Male,7,140000
Male,1,60000
Female,3,80000
Male,9,150000
Female,14,185000
Male,2,70000
Female,3,90000
Male,12,170000
Male,14,170000
Male,16,190000
Female,2,70000
Male,15,185000
Male,12,170000
Female,3,100000
Male,10,155000
Female,12,170000
Male,18,195000
Male,15,185000
Male,2,70000
Male,16,190000
Male,7,140000
Male,1,60000
Male,16,190000
Male,14,180000
Male,6,130000
Male,14,170000
Male,12,165000
Male,13,185000
Male,6,130000
Male,1,60000
Female,11,170000
Male,7,140000
Female,4,110000
Male,2,70000
Male,9,145000
Male,16,190000
Male,17,200000
Male,3,80000
Male,4,95000
Female,3,100000
Male,17,195000
Male,15,185000
Male,10,155000
Male,18,195000
Male,6,125000
Male,17,195000
Male,7,140000
Male,14,170000
Male,11,170000
Male,9,150000
Female,1,60000
Male,2,70000
Male,14,170000
Female,1,55000
Female,3,80000
Male,13,185000
Male,7,140000
Male,13,180000
Female,2,70000
Male,15,185000
Male,16,190000
Female,6,130000
Female,4,110000
Male,14,180000
Male,9,145000
Male,14,170000
Male,12,165000
Male,7,140000
Male,17,195000
Male,10,155000
Male,16,190000
Male,17,195000
Male,6,130000
Female,3,85000
Male,18,200000
Male,8,140000
Male,2,65000
Male,16,190000
Male,6,120000
Male,3,80000
Female,3,90000
Male,16,190000
Male,18,200000
Male,16,190000
Female,4,110000
Male,14,180000
Female,2,65000
Male,14,185000
Female,1,55000
Male,7,130000
Male,16,190000
Female,5,120000
Female,10,155000
Male,16,190000
Female,3,100000
Male,9,150000
Female,12,170000
Male,3,80000
Male,10,155000
Male,17,195000
Male,15,185000
Male,2,70000
Male,16,190000
Male,7,140000
Male,1,55000
Male,16,190000
Male,14,180000
Male,6,130000
Male,14,170000
Male,12,165000
Male,13,185000
Male,6,130000
Male,1,60000
Female,11,170000
Male,7,140000
Female,4,110000
Male,2,70000
Male,9,145000
Male,16,190000
Male,17,200000
Male,3,80000
Male,4,95000
Female,3,100000
Male,17,195000
Male,15,185000
Male,10,155000
Male,18,195000
Male,6,125000
Male,17,195000
Male,7,140000
Male,14,170000
Male,11,170000
Male,9,150000
Female,1,60000
Male,2,70000
Male,14,170000
Female,1,55000
Female,3,80000
Male,13,185000
Male,7,140000
Male,13,180000
Female,2,70000
Male,15,185000
Male,16,190000
Male,6,125000
Male,12,160000
Male,8,140000
Male,17,195000
Male,2,70000
Male,2,70000
Male,11,170000
Male,13,185000
Male,17,195000
Male,6,130000
Male,10,155000
Male,15,185000
Male,3,80000
Male,17,195000
Male,7,135000
Male,1,55000
Male,16,190000
Female,2,70000
Male,13,185000
Male,11,170000
Male,9,150000
Male,17,195000
Male,2,70000
Male,17,195000
Male,6,125000
Male,15,185000
Female,2,70000
Male,10,155000
Male,3,80000
Male,13,185000
Male,16,190000
Male,11,170000
Male,17,195000
Male,9,150000
Male,2,70000
Female,2,70000
Male,15,185000
Male,7,135000
Male,3,80000
Male,17,195000
Male,10,155000
Male,11,170000
Male,13,185000
Male,2,70000
Male,16,190000
Male,6,125000
Male,17,195000
Male,9,150000
Male,2,70000
Female,2,70000
Male,5,95000
Female,12,170000
Male,2,75000
Female,18,210000
Male,7,135000
Male,12,160000
Male,1,55000
Male,16,190000
Female,11,165000
Female,3,80000
Male,6,120000
Male,15,185000
Male,13,185000
Male,16,190000
Male,8,140000
Male,6,130000
Female,2,70000
Male,11,170000
Male,6,125000
Male,10,155000
Male,2,70000
Male,17,195000
Male,7,140000
Male,6,130000
Female,10,155000
Male,16,190000
Male,2,70000
Male,3,80000
Male,13,185000
Female,3,100000
Male,15,185000
Male,16,190000
Male,7,135000
Female,12,160000
Male,1,55000
Male,3,80000
Male,14,170000
Female,1,55000
Female,3,80000
Male,13,185000
Male,7,140000
Male,13,180000
Female,2,70000
Male,15,185000
Male,16,190000
Male,6,125000
Male,12,160000
Male,8,140000
Male,17,195000
Male,2,70000
Male,2,70000
Male,11,170000
Male,13,185000
Male,17,195000
Male,6,130000
Male,10,155000
Male,15,185000
Male,3,80000
Male,17,195000
Male,7,135000
Male,1,55000
Male,16,190000
Female,2,70000
Male,13,185000
Male,11,170000
Male,9,150000
Male,17,195000
Male,2,70000
Male,17,195000
Male,6,125000
Male,15,185000
Male,17,195000
Male,3,80000
Male,14,170000
Male,10,155000
Male,13,185000
Male,2,70000
Male,7,140000
Male,17,195000
Male,8,140000
Female,2,70000
Male,15,185000
Male,16,190000
Male,7,135000
Female,12,160000
Male,1,55000
Male,3,80000
Male,13,185000
Female,3,100000
Male,15,185000
Male,16,190000
Male,6,125000
Male,12,160000
Male,8,140000
Male,17,195000
Male,2,70000
Male,2,70000
Male,11,170000
Male,13,185000
Male,17,195000
Male,6,130000
Male,10,155000
Male,15,185000
Male,3,80000
Male,17,195000
Male,7,135000
Male,1,55000
Male,16,190000
Female,2,70000
Male,13,185000
Male,11,170000
Male,9,150000
Male,17,195000
Male,2,70000
Male,17,195000
Male,6,125000
Male,15,185000
Male,17,195000
Male,3,80000
Male,14,170000
Male,10,155000
Male,7,120000
Female,3,90000
Female,14,180000
Male,7,130000
Male,12,170000
Male,2,70000
Male,18,210000
Female,1,55000
Male,16,190000
Female,11,165000
Male,5,105000
Female,11,160000
Male,6,110000
Male,17,195000
Male,3,85000
Male,14,180000
Female,1,55000
Male,13,185000
Male,8,140000
Female,3,90000
Female,12,160000
Male,8,145000
Male,13,185000
Male,5,105000
Male,6,110000
Male,18,210000
Female,1,55000
Male,16,190000
Female,11,165000
Male,5,105000
Female,11,160000
Male,6,110000
Male,17,195000
Male,3,85000
Male,14,180000
Female,1,55000
Male,13,185000
Male,8,140000
Female,3,90000
Female,12,160000
Male,8,145000
Male,13,185000
Male,5,105000
Male,6,110000
Male,18,210000
Female,1,55000
Male,16,190000
Female,11,165000
Male,5,105000
Female,11,160000
Male,6,110000
Male,17,195000
Male,3,85000
Male,14,180000
Female,1,55000
Male,13,185000
Male,8,140000
Female,3,90000
Female,12,160000
Male,8,145000
Male,13,185000
Male,5,105000
Male,6,110000
Male,18,210000
Female,1,55000
Male,16,190000
Female,11,165000
Male,5,105000
Female,11,160000
Male,6,110000
Male,17,195000
Male,3,85000
Male,14,180000
Female,1,55000
Male,13,185000
Male,8,140000
Female,3,90000
Female,12,160000
Male,8,145000
Male,13,185000
Male,5,105000
Male,6,110000
Male,18,210000
Female,1,55000
Male,16,190000
Female,11,165000
Male,5,105000
Female,11,160000
Male,6,110000
Male,17,195000
Male,3,85000
Male,14,180000
Female,1,55000
Male,13,185000
Male,8,140000
Female,3,90000
